FGR
SLC7A2
CD38
ARHGAP33
CALCR
ITGA3
ITGA2B
CX3CL1
RALA
BAIAP2L1
TBXA2R
IFRD1
SCIN
PROM1
GAS7
CEACAM7
CD79B
ADAM22
PLEKHG6
MMP25
RHOBTB2
IYD
CD9
CD4
HFE
FYN
PLAUR
TYROBP
GABRA3
EHD3
CCDC88C
WAS
CLCA4
ADGRA2
SAMD4A
GABRA1
SLC45A4
ZNF839
EHD2
CCDC28A
FAS
CD44
IFNGR1
GAB2
SLC4A7
MAT2B
CDH10
ADAM28
DSG2
ANO2
TNFRSF9
ELN
SLC4A8
TTC17
NPFFR2
PKP2
SLC2A3
STYK1
LZTS1
TNK2
CCN5
CALCRL
SLC9A3R2
GLP2R
ERBB3
COL17A1
PDE4A
SLC9A3
CD84
CLDN18
FGFR2
MYO9A
PLPP1
TRO
RASGRP2
ATP1B3
ATP2B1
CYBRD1
LNX1
MARK2
STK10
PANX2
TACR2
CELSR1
PLD1
ARHGAP15
ANKRD13A
MCAM
GPC4
IL4R
ITGA8
ARAF
GNB1
PKD2L2
CDH17
OSBPL6
EPB41L2
DCT
CRYBG3
SLC4A4
COL5A3
MAGI3
PCDHB4
IL12RB2
FYB1
COBLL1
OPRK1
ERC1
SLCO1A2
EFR3B
ABCB1
LAT2
ADAMTS2
ADD1
NID2
GP6
EPB41L1
TMEM40
TASP1
NOS1
GRAMD1A
SLC9A1
ICAM1
PDCD7
EFNB1
ABCC6
SMPX
PITPNM3
SNAP23
EZR
BLNK
HSP90AB1
DSP
IL12RB1
TBC1D10A
SUSD2
CYTH4
HPS4
CACNA1I
ATP6V1D
TMED8
SPTLC2
SUSD6
UQCC1
SLCO4A1
NTSR1
PPP1R16B
APMAP
BMX
CD99L2
GPR50
TNFSF13B
FLT1
DGKH
ABCC1
MEFV
XYLT1
STX4
TMC5
OCA2
TJP1
ZDHHC2
ANXA13
MAP4K1
SLC1A6
SLC1A5
CD33
CEACAM5
HAS1
LENG1
GRIK5
SIPA1L3
CADM4
PIK3CG
MET
CRHR2
FSD1L
TGFBR1
ENG
KANK1
NCS1
KCNT1
CA9
PKD2L1
UBE2S
C1QBP
ICAM2
ABCC3
GAB1
AADAT
CPZ
PANX1
SLC22A18
CD81
PPFIBP1
BIN2
ADGRD1
TBC1D30
GNB3
SLCO1B3
MDGA1
TSPO2
ACOT13
PTK7
BTN2A1
CLIC5
PCDHB5
CD86
AMOTL2
