"Gene1","Gene2","Correlation"
"IL12RB1","SIGLEC7",0.732209683644445
"SLC24A2","THBS2",0.731132522751009
"DOK3","IL12RB1",0.730675888785574
"CD48","SIGLEC7",0.730217854496172
"CDH5","ICAM2",0.730056063506789
"CDH5","MCAM",0.730014634282509
"GNG2","RFTN2",0.729508705829548
"PPP1R16B","TRAT1",0.729034430505874
"LRCH2","TGFBR2",0.725983485333123
"AQP1","TEK",0.725955232838862
"NT5E","TGFBR2",0.725324784193109
"IL2RG","MYO1G",0.724516949024436
"RECK","RFTN2",0.718604972980103
"MAP4K1","PPP1R16B",0.717981848662732
"CD2","MYO1G",0.71795530345923
"CCR4","TNFSF13B",0.71754852787084
"ADAM12","CORIN",0.717189346302475
"LRCH2","SLC24A2",0.715234912036775
"ADAM33","MRGPRF",0.715095010616654
"ADAM12","NT5E",0.714787321516599
"MAP4K1","SAMSN1",0.714478024006146
"ARHGEF15","TEK",0.71442865928105
"CCR2","PPP1R16B",0.713983512200869
"ADGRA2","LRP1",0.713108070307184
"SAMSN1","TRAT1",0.7129990901462
"MYO1G","TNFRSF9",0.712803586910394
"CCR4","PPP1R16B",0.711375609997532
"LRCH2","PDE3A",0.710560454998098
"ADAM33","ELN",0.709142295952791
"CD48","DOK3",0.708669167189622
"CCR2","TNFSF13B",0.708141904997353
"ADGRA2","THBS2",0.706998125283233
"CCDC69","CCR2",0.706669543370394
"GAS7","GNG2",0.704518418423788
"CCR2","MYO1G",0.704080836165437
"JAM2","PTPRB",0.70371134523342
"LRP1","TGFBR2",0.703526301282184
"GNG2","LRCH2",0.701649068170893
"DOK3","IL2RG",0.701351226594898
"EDNRB","PTPRB",0.700517476031457
"ELN","GAS7",0.700471431578697
"RFTN2","RHOJ",0.700435195844608
"FILIP1L","SLIT3",0.699569832748534
"CCR4","GAS7",0.69902838331122
"PTPRM","TGFBR2",0.698217998546119
"LRCH2","THBS2",0.695989712052928
"PRKD1","RECK",0.695978195889178
