"Gene1","Gene2","Correlation"
"EHD2","MRGPRF",0.611127562425649
"ADAM12","CORIN",0.609723122379203
"ADGRA2","ROBO4",0.609711200697995
"EHD2","ROBO4",0.609611416217072
"GNB2","UTRN",-0.609571474895866
"APOBR","SIGLEC7",0.609154115765247
"RFTN2","RHOJ",0.608825612687716
"CRYBG3","PTPRB",0.607653177403521
"ICOS","PPP1R16B",0.607110413943875
"CDH5","TGFBR2",0.607002976332548
"B3GALT2","CFL1",-0.606862194492006
"ADGRA2","CDH5",0.606622789353084
"ARHGEF15","MRGPRF",0.6066145438063
"ARHGEF15","JAM2",0.606047540724495
"JAM2","PTPRB",0.605905669063836
"APOBR","IL2RG",0.605336085091945
"CSF1","SAMSN1",0.605187530209801
"IL12RB1","TNFSF13B",0.605176844761909
"PTPRB","RHOJ",0.604952761651867
"MRGPRF","ROBO4",0.604918758223852
"CLIC5","PPP1R16B",0.604741734540356
"PTPRB","SLIT3",0.60468423483287
"CLDN18","LHCGR",0.603984831016715
"FILIP1L","SLC24A2",0.603939768000072
"UBE2S","USP53",-0.603693670830493
"ARHGEF15","BMX",0.603543453889435
"ADGRA2","EHD2",0.60318152660041
"ADAM12","RECK",0.602514828284165
"ADGRA2","CD248",0.602482276892841
"CLIC5","TNFRSF9",0.602434987009204
"CFL1","UTRN",-0.601903344139251
"ADAM12","ADGRA2",0.601574272972917
"ADAM33","EHD2",0.600938157336235
"CDH5","FZD4",0.600493269379881
"DUS1L","GUK1",0.600486008824563
"ABCB1","IL6ST",0.59977811881072
"DOK3","MS4A1",0.597261933150589
"FZD4","RHOJ",0.597117308911567
"CCR4","HSH2D",0.59589037610505
"CDH13","SLIT3",0.595308787394473
"LPAR6","SAMSN1",0.593628203321741
"CRYBG3","GUK1",-0.593147651262291
"CCDC69","SIGLEC7",0.592974619549247
"IL12RB1","MS4A1",0.592722679636532
"CD248","RAMP3",0.592665546961897
"PTPRB","UTRN",0.592580109877977
"CALCRL","EDNRB",0.592499117191055
"CD2","PPP1R16B",0.592280815090762
"IL12RB1","KLHDC7B",0.591672180709658
"GNG2","SAMSN1",0.590887519814519
"MYO1G","TNFSF13B",0.590837417024582
"ITGB3","LRP1",0.590303449550281
"LRP1","RECK",0.58999285634293
"PKP3","RAB25",0.589834885060531
"HSH2D","TNFSF13B",0.589346989940426
"SLC4A7","USP53",0.588740824035911
"ADGRA2","SLIT3",0.588627719894146
"CORIN","FILIP1L",0.588269691658933
"CCDC69","RAMP3",0.587593016754239
"ADAM33","JAM2",0.586967289518907
"CCR4","DOK3",0.586445193332256
"CSF1","TNFRSF9",0.58639824030554
"GNG2","RAB25",-0.585898269944896
"SLC16A7","SLC4A7",0.585294250469925
"ADGRA2","ARHGEF15",0.584898384048494
"ARHGEF15","PTPRB",0.584736358013917
"PPP1R16B","SAMSN1",0.583950242390942
"RFTN2","TEK",0.583855947490061
"PTPRB","SCN7A",0.583538981522762
"ARHGEF15","PLPP1",0.583342568393037
"LRP1","TGFBR2",0.58222249968679
"MRGPRF","RAI2",0.582171352506991
"ADRB2","CLIC5",0.581746723906752
"ABCG2","RFTN2",0.580788437399273
"CDH5","JAM2",0.580750577184042
"IL2RG","KLHDC7B",0.580152385033802
"CDH5","PLPP1",0.579776310965589
"BMX","JAM2",0.579445542861957
"DUS1L","UTRN",-0.579074122543463
"ABCG2","CALCRL",0.578806740287796
"SLIT3","THBS2",0.578805755155561
"CDH5","FILIP1L",0.578728088363725
"APOBR","RAMP3",0.578485640752387
"CD48","CSF1",0.578189360619926
"CDH13","FILIP1L",0.578048377022741
"ABCA1","CFL1",-0.577890583958097
"APOBR","KANK3",0.576843172680387
"CCDC69","TGFBR2",0.576238249459832
"CDH5","KANK3",0.576230420991881
"HSH2D","KLHDC7B",0.575789218618287
"ADRB2","MYO1G",0.575557453849584
"B3GALT2","GNB2",-0.574771040758792
"ADGRL2","EPS8",0.574549957444357
"ADAM12","TEK",0.574535804291559
"HLA-A","IL12RB1",0.574477231802131
"CD2","CSF1",0.574210004145619
"CDH5","RAMP3",0.573470585295139
"LRP1","SLC24A2",0.572706066048938
"DUS1L","GNB2",0.572666694786553
"CLIC5","TEK",0.572658971960254
"MCAM","ROBO4",0.572622847148694
"ADGRL2","CRYBG3",0.57248975034533
"ITGB3","PTPRG",0.572228550467032
"RFTN2","TGFBR2",0.572216092559149
"CDH13","PTPRB",0.571738476185796
"ABCA1","IL6ST",0.571469236474179
"ESAM","TEK",0.571052361253662
"CDH5","EDNRB",0.571018719703768
"ADAM33","ADGRA2",0.570999456242189
"EHD2","LRP1",0.570648442370226
"GNG2","TGFBR2",0.570599651302795
"PTPRG","SLIT3",0.570272288911899
"CCR4","SIGLEC7",0.570224697654819
"CLDN3","EPCAM",0.570094799852026
"ADAM12","GAS7",0.56951123800281
"ADAM33","RHOJ",0.569289843140341
"ESAM","MCAM",0.569136998988075
"SLIT3","TGFBR2",0.56880174145848
"PTPRG","TGFBR2",0.568679481846272
"CDH13","CDH5",0.568527243857224
"FER1L5","GRIK1",0.568470198798745
"ADAM12","TGFBR2",0.568293087557662
"EDNRB","PTPRB",0.567951400143883
"CYBRD1","RFTN2",0.567939972215844
"APOBR","CD48",0.567679545865774
"IL2RG","RAMP3",0.567524746456726
"ABCB1","IL12RB1",0.566997016109296
"ITGB3","RHOJ",0.566260207574844
"FZD4","JAM2",0.566240816958408
"CRYBG3","TGFBR2",0.565647486204695
"PTPRG","RFTN2",0.564504747976706
"ADGRA2","KANK3",0.564473175286603
"SIGLEC7","TNFSF13B",0.564320185827917
"HLA-A","KLHDC7B",0.56352108506922
"ABCB1","MAS1L",0.563009812887533
"CORIN","LRP1",0.562915704252397
"NT5E","THBS2",0.562559857268374
"ABCG2","PTPRB",0.562418871848288
"MAP4K1","PPP1R16B",0.562183670427986
"FILIP1L","JAM2",0.562177665856923
"ADAM12","DSEL",0.562006168923265
"CRB3","GNG2",-0.561699217684471
"ABCA1","UTRN",0.561531772584437
"GAS7","TGFBR2",0.560845673072218
"CFL1","USP53",-0.560279205261533
"APOBR","HLA-A",0.56025344136561
"CDH13","TEK",0.559896163030267
"CSF1","IL2RG",0.55939117200887
"CD248","RAI2",0.559339138105174
"UBE2S","UTRN",-0.55925944776417
"ARHGEF15","EHD2",0.559144249205688
"ADAM33","PLPP1",0.558851768107467
"IL6ST","TEK",0.55876385034448
"ADAM12","PRKD1",0.558509967649295
"CALCRL","TGFBR2",0.557867505819654
"LRP1","PTPRB",0.557632590098865
"GNB2","USP53",-0.557544437739452
"IL6ST","RFTN2",0.557276205550095
"ADGRA2","GAS7",0.557185154853403
"BMX","TGFBR2",0.557121074293434
"RHOJ","TGFBR2",0.556880369380952
"PLPP1","RAI2",0.556557328157013
"FILIP1L","RFTN2",0.556214561101731
"GUK1","USP53",-0.556202083909317
"ABCB1","IL2RG",0.556124042330478
"FZD4","TGFBR2",0.556114985172359
"ADGRA2","ESAM",0.554911284703647
"CEACAM5","CEACAM7",0.55467857780537
"CALCRL","IL6ST",0.554575136496027
"ADAM33","SLIT3",0.554277055910742
"CALCRL","FZD4",0.553273095746861
"PRKD1","SLIT3",0.552606555647232
"GUK1","SLC4A7",-0.55254324742336
"PTPRG","THBS2",0.551986435812111
"FILIP1L","RECK",0.551904056567789
"ESAM","MRGPRF",0.551862855555657
"PIEZO2","PRKD1",0.551336083989325
"CALCRL","CDH13",0.551144861182852
"ESAM","PLPP1",0.551136795978006
"CFL1","GRIK1",-0.550572162785817
"CHRNA1","FILIP1L",0.550373025841561
"LRP1","NT5E",0.550225084444061
"CFL1","SLC4A7",-0.549793580925577
"ABCG2","TEK",0.549650471261838
"FILIP1L","GAS7",0.549612412803475
"EHD2","ESAM",0.549393353492491
"ADGRA2","TEK",0.548904948672933
"LRP1","MRGPRF",0.548895126871255
"CCR4","TGFBR2",0.548495220949495
"CLIC5","IL2RG",0.548164365808981
"ADRB2","CCR2",0.548019645545928
"PTPRG","UTRN",0.547905465187263
"SLC4A7","UTRN",0.547291218855911
"THBS2","XYLT1",0.547268652223037
"LRP1","XYLT1",0.547217229524882
"JAM2","PLPP1",0.546940508009082
"GUK1","UBE2S",0.546574149753447
"ABCG2","CDH5",0.546091373660346
"SAMD4A","THBS2",0.545939011495365
"JAM2","RAI2",0.545780780276099
"ABCB1","BMX",0.54558131450929
"BMX","RHOJ",0.545412847184822
"CCDC154","FKBP2",0.544999231185438
"ABCB1","MYO1G",0.544950141401551
"CD248","RHOJ",0.544746565517216
"SIGLEC7","TRAT1",0.544707440626732
"AQP1","ESAM",0.544428877867874
"IL2RG","TNFSF13B",0.544397079587096
"MS4A1","RAMP3",0.544217665146867
"SAMSN1","TGFBR2",0.544032753766355
"SHKBP1","USP53",-0.543949503373907
"CD2","KLHDC7B",0.543178442153593
"CRYBG3","SLC4A7",0.543063786913829
"LRCH2","PRKD1",0.542719862177793
"IL6ST","SLC16A7",0.542570885451765
"CYBRD1","IL6ST",0.542494301290225
"LRCH2","PKP3",-0.541699037332894
"BLNK","CD2",0.541630967196386
"TGFBR2","UTRN",0.541396865995407
"CORIN","SLIT3",0.541043532253656
"RECK","SLIT3",0.540811007103413
"CFL1","DUS1L",0.540803731180112
"PTPRG","TEK",0.539938383534073
"ARHGEF15","FZD4",0.539907378168794
"BAIAP2L1","CRB3",0.5399039594504
"GNG2","LPAR6",0.539859492749721
"PPP1R16B","TGFBR2",0.539851475824765
"ABCA1","B3GALT2",0.539694486861641
"ABCB1","JAM2",0.539446918924737
"CDH13","PTPRG",0.539030643371492
"CYBRD1","SLIT3",0.538651993736663
"GNG2","PPP1R16B",0.538175690014674
"CYBRD1","PTPRG",0.537821741897625
"CD48","RAMP3",0.5377631970168
"EDNRB","TGFBR2",0.537599055607673
"ESAM","RAI2",0.53758785400444
"CD2","HLA-A",0.537258315517307
"CALCRL","RFTN2",0.53719930476374
"CDH5","RAI2",0.537186461988797
"EDNRB","RHOJ",0.53704925927691
"CA9","SLC2A1",0.536931221826707
"GUK1","RGS19",0.536816038573518
"GRIK1","LSMEM2",0.536662072676136
"ABCB1","LPAR6",0.536624325701158
"ADAM33","ARHGEF15",0.536537249579634
"CCDC69","TNFSF13B",0.536092549928581
"FZD4","RFTN2",0.53543397501672
"ICOS","KLHDC7B",0.535425523020576
"RHOJ","SLIT3",0.535398748637386
"PKP3","UTRN",-0.535235750501106
"IL2RG","SIGLEC7",0.53518859297222
"CRB3","SEMA6D",-0.535090350779697
"ADAM12","CHRNA1",0.534420227324588
"ADRB2","DOK3",0.534232733092306
"CDH13","XYLT1",0.533872243259317
"ABCB1","GNG2",0.533831272921299
"CRYBG3","DUS1L",-0.533733470524097
"PKP3","SEMA6D",-0.533497316893406
"CSF1","HSH2D",0.533470805367348
"PPP1R16B","TEK",0.533445825623184
"B3GALT2","PTPRG",0.533427043406285
"FILIP1L","MRGPRF",0.533290319172744
"PLPP1","TEK",0.532882413641874
"PTPRG","RECK",0.532821383812574
"CCR4","TNFSF13B",0.532766464814501
"DSEL","PRKD1",0.532634740173266
"ADGRA2","CDH13",0.532623753549596
"BLNK","ICOS",0.532502120312825
"CSF1","HLA-A",0.532386635571863
"CDH5","RFTN2",0.532288375707327
"CD248","MCAM",0.53221412682642
"CFL1","PKP3",0.532017511117176
"DOK3","TNFSF13B",0.531810529097372
"MRGPRF","SLIT3",0.531541971527298
"ESAM","F2RL3",0.531452560594655
"CRYBG3","GNB2",-0.531361157166407
"ADRB2","CCR4",0.531108316257532
"SLC4A7","TPRN",-0.531056411848498
"APOBR","CD2",0.530926653328054
"DOK3","RAMP3",0.530662395101154
"EHD2","RAI2",0.530221323437742
"PTPRG","SLC16A7",0.530093369697965
"PCDHA5","PCDHB12",0.529940935005486
"GNG2","TNFRSF9",0.529813731795713
"PKP3","PTPRG",-0.529605496961761
"RAI2","RHOJ",0.529164347195934
"ADAM12","XYLT1",0.529163951652364
"CDH5","SLIT3",0.529163179144986
"EHD2","KANK3",0.529076358527604
"ADRB2","CD48",0.528609992396361
"ADAM12","RFTN2",0.528493703032976
"PTPRG","SLC24A2",0.528179156222227
"CYBRD1","LRP1",0.527941217951537
"B3GALT2","PKP3",-0.527936579845888
"PCDHB12","PTPRG",0.527691547659681
"EDNRB","IL6ST",0.527555303037525
"HLA-A","RGS19",0.527538430455663
"ADRB2","ICOS",0.527281039065024
"ICAM2","IL2RG",0.527148462612135
"LPAR6","TGFBR2",0.526878061158636
"ABCA1","SLC16A7",0.526804832545349
"CSF1","GYPC",0.526475584590321
"DUS1L","USP53",-0.52607650830634
"ABCB1","CDH5",0.526015774245413
"PPP1R16B","TNFRSF9",0.525851304401583
"CDH13","ITGB3",0.525740125111521
"BLNK","HSH2D",0.525671959956514
"CALCRL","RHOJ",0.525638981142795
"GABRA2","GABRG1",0.525562203227201
"PLPP2","RAB25",0.525540246613143
"IL6ST","SCN7A",0.525471023322654
"EDNRB","PLPP1",0.52488419773454
"LHCGR","PCDHB12",0.524878092734245
"ADAM12","ITGB3",0.524819749614348
"GAS7","SLIT3",0.524729489473939
"ABCB1","ARHGEF15",0.524710955104073
"RAB25","SEMA6D",-0.524090475164283
"CALCRL","SLIT3",0.524002759474924
"ADAM12","SAMD4A",0.523985333031451
"KANK3","PLPP1",0.523751109002143
"GNB2","RGS19",0.523568597550001
"ARHGEF15","TGFBR2",0.523399905756566
"CCDC69","GNG2",0.523392842915443
"BLNK","CCR2",0.523315882102748
"HLA-A","MYO1G",0.52285902057718
"CYBRD1","UTRN",0.522562810424917
"CLDN18","LSMEM2",0.522348608002419
"CFL1","RGS19",0.522138476174389
"DUS1L","PTPRG",-0.521892414676939
"PTPRB","RECK",0.521845681404747
"CYBRD1","XYLT1",0.521437801253734
"CALCRL","UTRN",0.521193048007989
"ARHGEF15","F2RL3",0.5211785776548
"RECK","THBS2",0.521025328236114
"GNB2","PKP3",0.520881393773956
"ABCA1","PTPRG",0.520737300466151
"PTPRG","SAMD4A",0.520549410109676
"ADAM12","SCN7A",0.520414543658667
"TPRN","USP53",-0.520360426318334
"ADRB2","TRAT1",0.519996623134554
"EDNRB","FZD4",0.51998018871082
"CCDC69","TEK",0.519979597863771
"BMX","EDNRB",0.519770449503296
"CLDN3","CRB3",0.519574988908789
"DUS1L","TPRN",0.519557052333999
"MYO1G","PPP1R16B",0.519394965374531
"IL6ST","LPAR6",0.519383464449403
"CLIC5","IL12RB1",0.519147707286511
"CCR4","TEK",0.519120233699095
"CLIC5","MYO1G",0.518568831981964
"DNAJC18","LRCH2",0.518384838319603
"ARHGEF15","CCDC69",0.518339046377893
"ADAM12","ADAM33",0.518135598169144
"CDH13","SLC24A2",0.517854102495648
"RAI2","SLIT3",0.517533902191864
"DOK3","HLA-A",0.517518495619667
"GUK1","UTRN",-0.517500321882859
"MRGPRF","RAMP3",0.517436218547711
"FILIP1L","PRKD1",0.517335225009851
"FILIP1L","NT5E",0.517316563011209
"SCN7A","TGFBR2",0.517299420830862
"SLC16A7","UTRN",0.517072651731854
"GNG2","TRAT1",0.516914729643308
"CLDN3","PLPP2",0.51684394073896
"FILIP1L","XYLT1",0.515901451202524
"FZD4","SLIT3",0.515722454902116
"FILIP1L","SAMD4A",0.51555567083935
"CRYBG3","PTPRG",0.515531664739207
"PKP3","PLPP2",0.515384053005473
"F2RL3","KANK3",0.515363025914731
"BLNK","CD48",0.515148144794781
"CD248","PLPP1",0.515005757981079
"DSEL","SLC16A7",0.514655501003717
"CDH13","PRKD1",0.514632401040141
"CD48","GNG2",0.514515281872752
"GRIK1","PCDHB12",0.51449276814802
"MAS1L","PTPRB",0.51443808958784
"KANK3","RHOJ",0.51432833025945
"NT5E","TGFBR2",0.513996755532858
"GAS7","SAMD4A",0.513835282926912
"GNG2","IL6ST",0.513830642865925
"CORIN","RECK",0.513693255988611
"CD2","RAMP3",0.513533658948884
"BMX","ROBO4",0.513380554952717
