"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
6057.09887195438,-4.67672054660994,0.191947287192952,1.81089645892616e-132,1.1630517066546e-130,"ENSG00000135424"
162.465191152395,0.766235545680365,0.151918671586256,1.93913938027107e-07,3.39541085867027e-07,"ENSG00000135426"
23.2762641988466,-0.634844621643623,0.101687547335731,2.27898096659267e-10,4.64378938300494e-10,"ENSG00000135436"
335.500097753775,-5.01337142212389,0.206772187308258,2.00907615626596e-131,1.25210090672175e-129,"ENSG00000135437"
296.18210575019,1.059145932831,0.125893411257351,1.02379077466969e-17,2.90462440825609e-17,"ENSG00000135439"
219.547690215565,0.122513166994424,0.103934955166421,0.231221465310612,0.258128016770495,"ENSG00000135441"
2829.49681549451,0.793476908914794,0.0726536463186033,3.75845492826711e-28,1.61335512953956e-27,"ENSG00000135446"
6189.6667120539,-2.75328968771011,0.249157614188065,1.77314749118752e-29,7.97774139952203e-29,"ENSG00000135447"
484.724533094962,3.92144410014991,0.148547981234747,1.51878001304247e-154,1.68134942628063e-152,"ENSG00000135451"
2177.79973458922,-0.253138610911575,0.0674891010901697,0.000158742661300315,0.000233574917952116,"ENSG00000135452"
153.570988035484,1.05797183750522,0.161176071835877,1.31335964686795e-11,2.85860856006299e-11,"ENSG00000135454"
2714.17516859368,-0.179251783015775,0.0651794520471872,0.00564758315133451,0.00741567551209566,"ENSG00000135457"
330.853411848026,-0.582059755074218,0.0718950152191861,3.29774857498204e-16,8.78859918771345e-16,"ENSG00000135469"
1090.15833736281,2.91956518330761,0.237292459483405,8.7783753414215e-36,4.94687615104151e-35,"ENSG00000135472"
1574.68348580772,-0.715372784638883,0.0812594789758328,6.17708968188534e-19,1.84785578803706e-18,"ENSG00000135473"
637.799507438532,2.9271072843478,0.135142545254187,5.65268721905358e-105,1.95313691653008e-103,"ENSG00000135476"
27652.0530022843,1.51085368016338,0.196769068026857,1.16555123393649e-15,3.03320918859407e-15,"ENSG00000135480"
448.836178959659,-0.0300176187894106,0.0596085062617827,0.612739475845308,0.640010376166915,"ENSG00000135482"
30134.0089241978,0.0790339033363353,0.0614073535202601,0.195629973459237,0.220486641888719,"ENSG00000135486"
3372.75209035156,0.422334303204166,0.0609544640086901,3.16647803508506e-12,7.07037233232169e-12,"ENSG00000135503"
12484.4204726749,0.255672927744098,0.0761468756923813,0.000705619245887779,0.000994260178408446,"ENSG00000135506"
97.9683453575627,-1.40678507470553,0.208798420982864,1.59059244949917e-12,3.60324436560616e-12,"ENSG00000135519"
895.464608282216,0.38181300398957,0.0730502102036163,1.35626162897719e-07,2.39398032422104e-07,"ENSG00000135521"
3318.07404075588,1.16734375211864,0.107511333485075,3.70863258529497e-28,1.59278102380701e-27,"ENSG00000135525"
34756.1464289792,0.38118224272087,0.104653226101998,0.000211656893878568,0.000309081884343891,"ENSG00000135535"
319.951382337963,0.17380939074456,0.0754616909224977,0.0201916166799803,0.0252013302087249,"ENSG00000135537"
1247.26593203101,0.380547865722501,0.103471146304571,0.000184466129467502,0.000270502096779927,"ENSG00000135540"
1241.43384042176,-0.0668959788650861,0.0771084396614584,0.38156390144918,0.412686448752112,"ENSG00000135541"
747.997246337511,-1.67989598075403,0.14829398803781,4.1830055288553e-31,1.99737326997867e-30,"ENSG00000135547"
1504.57715691497,1.45260908636638,0.186377047966595,5.58740781533389e-16,1.47620209308562e-15,"ENSG00000135549"
5.11769700251158,-1.40470987127137,0.219310537553596,1.4908798323118e-11,3.23578420460605e-11,"ENSG00000135577"
780.027699494833,1.31578098132743,0.102271261181136,9.37764716428357e-39,5.82709264525109e-38,"ENSG00000135587"
1709.60861874142,0.531929196740716,0.111739398497224,1.2148513575284e-06,2.03730354725238e-06,"ENSG00000135596"
2786.51130005072,0.344987471097432,0.0751939299622888,3.67771355922444e-06,6.0012496180246e-06,"ENSG00000135597"
932.161457452738,-2.12950457584304,0.173364579870577,3.64617091303171e-36,2.08050586482145e-35,"ENSG00000135604"
173.883071198578,0.0131755010225831,0.0726624553071627,0.855030119096685,0.867767901932444,"ENSG00000135605"
1121.95627044903,0.601017821278449,0.115797578175132,1.17945802546905e-07,2.08803158280564e-07,"ENSG00000135617"
734.416332407771,-0.518371313293686,0.0782324309616625,2.22035447051149e-11,4.77346424879223e-11,"ENSG00000135622"
13711.4668593599,0.822165621651773,0.0597511519205742,1.75849579957968e-43,1.27985332264391e-42,"ENSG00000135624"
8.71655965661477,0.277566229056394,0.273445668956147,0.263459142589317,0.291585633779549,"ENSG00000135625"
3253.55659144342,0.0239128316907881,0.0623860993233739,0.699897281224511,0.722259999458166,"ENSG00000135631"
1960.67518461907,0.424143389573626,0.0525533439987716,5.19991376540899e-16,1.37555335529849e-15,"ENSG00000135632"
2026.99883052795,0.190306960595908,0.0991578166987065,0.0515128476539469,0.0619457362590556,"ENSG00000135636"
419.666093977528,0.703900039118055,0.0668832716858651,3.17214401081385e-26,1.26248030439841e-25,"ENSG00000135637"
