"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
556.183898837449,0.569146481755367,0.0660292960097076,4.55791214719023e-18,1.23008801444699e-17,"ENSG00000184857"
1233.3575548891,0.321180197144517,0.151727826733379,0.028799438494158,0.0350631757138555,"ENSG00000184860"
3271.39963697898,-0.0248978678343046,0.0526130307334834,0.632920802072326,0.65867761373437,"ENSG00000184863"
2364.77403885447,0.138519543482125,0.110027190410058,0.196965272917049,0.220499943275576,"ENSG00000184867"
3429.60096769291,-0.279069786680732,0.0863843950483187,0.00107856117145789,0.00147062222122372,"ENSG00000184887"
3299.26273136658,0.714456433830482,0.0950914113569282,3.061699320578e-14,7.13266156269776e-14,"ENSG00000184897"
833.527141157145,-1.15003668078951,0.0741282544974646,5.34461694946438e-55,4.62384932692222e-54,"ENSG00000184898"
8343.52987133434,0.857494799058245,0.0586494279625246,8.27204946816602e-49,6.05717042649389e-48,"ENSG00000184900"
646.427881708421,-0.406621933104452,0.0780360446451939,1.54075446517278e-07,2.6273080042017e-07,"ENSG00000184903"
154.510160968475,-0.252065483458986,0.257410794539358,0.289120727253257,0.317602459687333,"ENSG00000184905"
22.3723020854501,-0.658016392305578,0.172572877344509,7.86185640650872e-05,0.000115568671051212,"ENSG00000184908"
2557.44177147096,-0.304063356882412,0.0939570024575749,0.00104379914792824,0.00142553431232762,"ENSG00000184916"
1532.5298043008,0.634706587581894,0.0981531471410343,6.11800514748788e-11,1.23453258924066e-10,"ENSG00000184922"
23.4136178228789,-0.0130089363542698,0.153511326452616,0.930090644655832,0.937219910031959,"ENSG00000184923"
557.560282674726,0.5063171364318,0.0846759238207082,1.64649229323002e-09,3.09870549358926e-09,"ENSG00000184924"
49.0659751416996,0.355732933054347,0.145326739497563,0.0117851403274724,0.0148323527517111,"ENSG00000184925"
117.789318468022,3.66223838285003,0.245285311152153,2.23183304501118e-51,1.74431280299132e-50,"ENSG00000184937"
1948.31546131036,-0.508655233578958,0.0596356380203445,1.08399142634128e-17,2.88886977051705e-17,"ENSG00000184939"
300.992089673318,0.394914143610706,0.122468089302512,0.00101584226031784,0.00138870563931824,"ENSG00000184949"
510.420790941812,-2.88924716437994,0.292417993273365,3.20721436023001e-24,1.07870869557446e-23,"ENSG00000184956"
1119.28942999169,0.890450222216294,0.0881556914532206,2.02024344794072e-24,6.84547654017288e-24,"ENSG00000184967"
785.21826765612,1.5407699967884,0.115111191819899,4.9613995606544e-42,2.89779487702643e-41,"ENSG00000184979"
3126.66567767625,0.580974109787441,0.0766252874226618,2.26482979051208e-14,5.30562312194721e-14,"ENSG00000184983"
